Course Name,Course Description,Course University,Course University Tag,Course Link,Course Provider,Course Duration,Course Pricing
Introduction to Cyber Security,"Our lives depend on online services. Gain essential cyber security knowledge and skills, to help protect your digital life.",The Open University,tou,/course/introduction-to-cyber-security-2448,FutureLearn,"3 hours a week, 8 weeks long",Free Online Course (Audit)
Start Writing Fiction,"Get started with your own fiction writing, focusing on the central skill of creating characters, with this hands-on course.",The Open University,tou,/course/start-writing-fiction-1759,FutureLearn,"3 hours a week, 8 weeks long",Free Online Course (Audit)
Forensic Psychology: Witness Investigation,Discover how psychology can help obtain evidence from eyewitnesses in police investigations and prevent miscarriages of justice.,The Open University,tou,/course/forensic-psychology-1935,FutureLearn,8 weeks long,Free Online Course (Audit)
"World War 1: Trauma, Memory, Controversy","Discover the traumatic effects of war on those who survive it, from the soldiers on the front lines to the civilians at home.",The Open University,tou,/course/ww1-trauma-2325,FutureLearn,"2 hours a week, 3 weeks long",Free Online Course (Audit)
Moons,Explore the many moons of our Solar System. Find out what makes them special and ask whether we send humans to our Moon again.,The Open University,tou,/course/moons-1754,FutureLearn,"3 hours a week, 8 weeks long",Free Online Course (Audit)
Introduction to cyber security: stay safe online,"This free course, Introduction to cyber security: stay safe online, will help you to understand online security and start to protect your digital life, whether at home or work. You will learn how ...",The Open University,tou,/course/openlearn-introduction-cyber-security-stay-safe-o-95542,OpenLearn,24 hours worth of material,Free Certificate
Health and Wellbeing in the Ancient World,"Use literary and archaeological evidence to see how ancient Greeks and Romans approached health, well-being and societal issues.",The Open University,tou,/course/ancient-health-7491,FutureLearn,"3 hours a week, 6 weeks long",Free Online Course (Audit)
From Notation to Performance: Understanding Musical Scores,Find out how musicians turn the notation of a musical score into a memorable performance. Change how you listen to music.,The Open University,tou,/course/musical-scores-3616,FutureLearn,"3 hours a week, 4 weeks long",Free Online Course (Audit)
Project governance and Project Management Office (PMO),"Whether a project is large or small, innovative or similar to other projects, governance and administrative support will be needed. The type of governance, and level of support, will vary ...",The Open University,tou,/course/openlearn-money-business-project-governance-and-p-95902,OpenLearn,7 hours worth of material,Free Certificate
The body: a phenomenological psychological perspective,"The body has traditionally been treated as a biological object in psychology. However, is there more to our bodies than that? Some psychologists recognise that we relate to other people and the ...",The Open University,tou,/course/openlearn-sociology-the-body-phenomenological-psy-95383,OpenLearn,15 hours worth of material,Free Certificate
How to Learn Online: Getting Started,This free online course will explain how you can study online without putting the rest of your life on hold.,The Open University,tou,/course/online-learning-3882,FutureLearn,"3 hours a week, 2 weeks long",Free Online Course (Audit)
Forensic science and fingerprints,"This free course, Forensic science and fingerprints, covers how science can make fingerprints easier to study, how they are used in court and some of the questions about the extent to which ...",The Open University,tou,/course/openlearn-health-forensic-science-and-fingerprint-96024,OpenLearn,10 hours worth of material,Free Certificate
Everyday English 1,"This free course, Everyday English 1, will develop and improve your essential speaking and listening, reading and writing skills for work, study and everyday life.",The Open University,tou,/course/openlearn-everyday-english-1-content-section-over-95837,OpenLearn,48 hours worth of material,Free Certificate
Simple coding,"Have you ever wanted to try out simple coding? Want to understand the basics of what it entails? This course introduces you to the skills, concepts and jargon of coding.&nbsp;",The Open University,tou,/course/openlearn-science-maths-technology-simple-coding-96118,OpenLearn,2 hours worth of material,Free Certificate
